timestamp,index_type,batch_index,n_keys,snapshot_ns,sort_ns,kv_ns,bulk_load_ns,total_ns
20260920154746,alex,1,100000000,6.29113e+08,8.32983e+09,2.60467e+08,3.1163e+10,4.03824e+10
20260920154921,alex,3,150000000,9.33499e+08,1.34854e+10,3.92421e+08,4.50897e+10,5.9901e+10
20260920155122,alex,5,200000000,1.27818e+09,1.87412e+10,5.56763e+08,6.0322e+10,8.08982e+10
20260920155322,lipp,1,100000000,6.24042e+08,8.18257e+09,2.63381e+08,7.41127e+09,1.64813e+10
20260920155421,lipp,3,150000000,9.39239e+08,1.35306e+10,3.93639e+08,1.01382e+10,2.50017e+10
20260920155529,lipp,5,200000000,1.24677e+09,1.86973e+10,5.24431e+08,1.20195e+10,3.24879e+10
20260920155739,dili,1,100000000,6.3647e+08,8.28769e+09,2.62455e+08,1.49099e+10,2.40965e+10
20260920155848,dili,3,150000000,9.44996e+08,1.34876e+10,4.0108e+08,2.09996e+10,3.58332e+10
20260920160009,dili,5,200000000,1.2736e+09,1.86631e+10,5.51718e+08,2.60629e+10,4.65513e+10
20260920160220,artunsync,1,100000000,6.46698e+08,8.20782e+09,2.62391e+08,9.64513e+09,1.8762e+10
20260920160329,artunsync,3,150000000,9.28826e+08,1.35146e+10,3.96545e+08,1.31938e+10,2.80338e+10
20260920160446,artunsync,5,200000000,1.24511e+09,1.86685e+10,5.34836e+08,1.6291e+10,3.67395e+10
20260920160709,btree,1,100000000,6.28503e+08,8.27648e+09,2.6421e+08,2.03167e+09,1.12009e+10
20260920160842,btree,3,150000000,9.57183e+08,1.34066e+10,3.93098e+08,3.08413e+09,1.7841e+10
20260920161026,btree,5,200000000,1.25438e+09,1.85988e+10,5.37815e+08,4.06277e+09,2.44538e+10
