timestamp,index_type,batch_index,n_keys,snapshot_ns,sort_ns,kv_ns,bulk_load_ns,total_ns
20260920171529,alex,1,100000000,6.39301e+08,8.25654e+09,2.61891e+08,4.20922e+10,5.125e+10
20260920171749,alex,3,150000000,9.78898e+08,1.34871e+10,4.09651e+08,6.30485e+10,7.79241e+10
20260920172042,alex,5,200000000,1.25245e+09,1.86456e+10,5.3217e+08,8.54299e+10,1.0586e+11
20260920172312,lipp,1,100000000,6.52506e+08,8.31728e+09,2.6333e+08,1.27971e+10,2.20303e+10
20260920172447,lipp,3,150000000,9.51425e+08,1.34792e+10,3.94348e+08,1.88568e+10,3.36818e+10
20260920172637,lipp,5,200000000,1.28756e+09,1.87838e+10,5.24695e+08,2.56386e+10,4.62347e+10
20260920172908,dili,1,100000000,6.22278e+08,8.31257e+09,2.6265e+08,1.94999e+10,2.86974e+10
20260920173040,dili,3,150000000,9.49804e+08,1.34618e+10,3.93246e+08,2.83969e+10,4.32017e+10
20260920173230,dili,5,200000000,1.28739e+09,1.86597e+10,5.40465e+08,3.76156e+10,5.81031e+10
20260920173445,artunsync,1,100000000,6.3514e+08,8.32132e+09,2.60759e+08,9.17726e+09,1.83945e+10
20260920173606,artunsync,3,150000000,9.40505e+08,1.35286e+10,3.93828e+08,1.37501e+10,2.8613e+10
20260920173740,artunsync,5,200000000,1.24901e+09,1.87037e+10,5.3992e+08,1.81373e+10,3.86299e+10
20260920174004,btree,1,100000000,6.30969e+08,8.2477e+09,2.62718e+08,2.06397e+09,1.12054e+10
20260920174136,btree,3,150000000,9.32137e+08,1.35156e+10,3.92445e+08,3.08784e+09,1.79281e+10
20260920174322,btree,5,200000000,1.29765e+09,1.87058e+10,5.29958e+08,4.01147e+09,2.45449e+10
