timestamp,index_type,batch_index,n_keys,snapshot_ns,sort_ns,kv_ns,bulk_load_ns,total_ns
20260920152228,alex,1,100000000,6.5552e+08,8.25254e+09,2.64356e+08,3.12345e+10,4.04069e+10
20260920152404,alex,3,150000000,9.67828e+08,1.35241e+10,3.92839e+08,4.5117e+10,6.00018e+10
20260920152604,alex,5,200000000,1.25415e+09,1.89344e+10,5.26568e+08,6.0174e+10,8.08892e+10
20260920152805,lipp,1,100000000,6.2465e+08,8.32349e+09,2.61521e+08,7.45663e+09,1.66663e+10
20260920152905,lipp,3,150000000,9.51289e+08,1.35209e+10,3.95115e+08,1.02296e+10,2.5097e+10
20260920153013,lipp,5,200000000,1.27032e+09,1.88917e+10,5.44331e+08,1.20241e+10,3.27305e+10
20260920153224,dili,1,100000000,6.23624e+08,8.22738e+09,2.64365e+08,1.53386e+10,2.4454e+10
20260920153333,dili,3,150000000,9.2724e+08,1.35396e+10,3.94386e+08,2.10183e+10,3.58795e+10
20260920153454,dili,5,200000000,1.25082e+09,1.88738e+10,5.3727e+08,2.62123e+10,4.68742e+10
20260920153705,artunsync,1,100000000,6.53206e+08,8.18091e+09,2.62386e+08,9.4712e+09,1.85677e+10
20260920153815,artunsync,3,150000000,9.23711e+08,1.35574e+10,3.94023e+08,1.31986e+10,2.80737e+10
20260920153932,artunsync,5,200000000,1.23103e+09,1.88927e+10,5.38535e+08,1.62821e+10,3.69444e+10
20260920154155,btree,1,100000000,6.32319e+08,8.18916e+09,2.64769e+08,2.04617e+09,1.11324e+10
20260920154329,btree,3,150000000,9.49077e+08,1.35038e+10,3.94065e+08,3.07204e+09,1.7919e+10
20260920154514,btree,5,200000000,1.27797e+09,1.87355e+10,5.514e+08,4.03295e+09,2.45979e+10
