timestamp,index_type,batch_index,n_keys,snapshot_ns,sort_ns,kv_ns,bulk_load_ns,total_ns
20260920161332,alex,1,100000000,6.47943e+08,8.27322e+09,2.62191e+08,4.18798e+10,5.10631e+10
20260920161551,alex,3,150000000,9.38444e+08,1.3519e+10,3.94167e+08,6.27279e+10,7.75795e+10
20260920161843,alex,5,200000000,1.25728e+09,1.88267e+10,5.26686e+08,8.4783e+10,1.05394e+11
20260920162113,lipp,1,100000000,6.23863e+08,8.39224e+09,2.90386e+08,1.27505e+10,2.2057e+10
20260920162247,lipp,3,150000000,9.54002e+08,1.35512e+10,3.96197e+08,1.8914e+10,3.38154e+10
20260920162438,lipp,5,200000000,1.27569e+09,1.9136e+10,5.24056e+08,2.5734e+10,4.66697e+10
20260920162709,dili,1,100000000,6.59581e+08,8.26879e+09,2.64028e+08,1.95667e+10,2.87591e+10
20260920162841,dili,3,150000000,9.53185e+08,1.35803e+10,3.93454e+08,2.84433e+10,4.33703e+10
20260920163030,dili,5,200000000,1.28087e+09,1.87924e+10,5.31576e+08,3.69751e+10,5.758e+10
20260920163245,artunsync,1,100000000,7.10193e+08,8.3728e+09,2.62987e+08,9.11586e+09,1.84618e+10
20260920163407,artunsync,3,150000000,9.65658e+08,1.35247e+10,4.19096e+08,1.3644e+10,2.85535e+10
20260920163541,artunsync,5,200000000,1.26378e+09,1.89193e+10,5.25528e+08,1.81685e+10,3.88771e+10
20260920163804,btree,1,100000000,6.58978e+08,8.27508e+09,2.62988e+08,2.03742e+09,1.12345e+10
20260920163937,btree,3,150000000,9.6347e+08,1.35447e+10,4.22203e+08,3.00005e+09,1.79304e+10
20260920164123,btree,5,200000000,1.24141e+09,1.8944e+10,5.48044e+08,4.09421e+09,2.48277e+10
